"filename", "language", "Markdown", "System Verilog", "Verilog", "JSON with Comments", "Python", "comment", "blank", "total"
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/README.md", "Markdown", 52, 0, 0, 0, 0, 0, 17, 69
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/spinalHDL/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 2, 3
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 2, 3
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/bus_interconnect.sv", "System Verilog", 0, 0, 0, 0, 0, 0, 3, 3
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/caster.sv", "System Verilog", 0, 35, 0, 0, 0, 21, 6, 62
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/ccd_wrapper.sv", "System Verilog", 0, 88, 0, 0, 0, 21, 15, 124
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/data_enc.sv", "System Verilog", 0, 20, 0, 0, 0, 21, 10, 51
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/dummy_pe/dummy_array_control.sv", "System Verilog", 0, 3, 0, 0, 0, 20, 1, 24
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/dummy_pe/dummy_pe.sv", "System Verilog", 0, 60, 0, 0, 0, 34, 23, 117
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/dummy_pe/dummy_pe_array.sv", "System Verilog", 0, 86, 0, 0, 0, 37, 17, 140
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/dummy_pe/dummy_pe_array_configurable.sv", "System Verilog", 0, 85, 0, 0, 0, 49, 41, 175
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/dummy_pe/dummy_pe_kl.sv", "System Verilog", 0, 39, 0, 0, 0, 23, 12, 74
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/glb_buffer.sv", "System Verilog", 0, 12, 0, 0, 0, 21, 2, 35
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/glb_pe.sv", "System Verilog", 0, 36, 0, 0, 0, 22, 7, 65
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/global_buffer.sv", "System Verilog", 0, 29, 0, 0, 0, 21, 8, 58
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/interface.sv", "System Verilog", 0, 252, 0, 0, 0, 45, 83, 380
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/multicaster.sv", "System Verilog", 0, 109, 0, 0, 0, 59, 39, 207
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/pe.sv", "System Verilog", 0, 102, 0, 0, 0, 40, 20, 162
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/pe_array_configurable.sv", "System Verilog", 0, 92, 0, 0, 0, 22, 21, 135
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/pe_ctrl.sv", "System Verilog", 0, 79, 0, 0, 0, 0, 12, 91
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/system_verilog/xbus_control.sv", "System Verilog", 0, 50, 0, 0, 0, 21, 15, 86
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/README.md", "Markdown", 1, 0, 0, 0, 0, 0, 2, 3
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/async_fifo.v", "Verilog", 0, 0, 77, 0, 0, 11, 16, 104
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/async_fifo_claude.v", "Verilog", 0, 0, 127, 0, 0, 18, 22, 167
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/async_fifo_with_prefill.v", "Verilog", 0, 0, 107, 0, 0, 30, 30, 167
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/axi_example/sample_generator/sample_generator_v1_0.v", "Verilog", 0, 0, 53, 0, 0, 14, 17, 84
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/axi_example/sample_generator/sample_generator_v1_0_M_AXIS.v", "Verilog", 0, 0, 122, 0, 0, 72, 35, 229
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/axi_example/sample_generator/sample_generator_v1_0_S_AXIS.v", "Verilog", 0, 0, 97, 0, 0, 51, 20, 168
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/data_buffer.v", "Verilog", 0, 0, 35, 0, 0, 1, 10, 46
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/shifter.v", "Verilog", 0, 0, 28, 0, 0, 5, 6, 39
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/tagAlloc.v", "Verilog", 0, 0, 53, 0, 0, 20, 6, 79
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/tagBuff.v", "Verilog", 0, 0, 41, 0, 0, 19, 6, 66
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/design source/verilog/weight_buffer.v", "Verilog", 0, 0, 83, 0, 0, 21, 25, 129
"/Users/yucheng/Documents/FYP/convolution-accelerator-FYP/hdl_source.code-workspace", "JSON with Comments", 0, 0, 0, 12, 0, 0, 0, 12
